First Name,Last Name,Company Name,Title,LinkedIn URL,Priority Tier,Confidence Note
Natalie,Miranda,Justworks,"Vice President, Customer Success",https://www.linkedin.com/in/nataliemiranda/,2,"Confirmed via PRNewswire announcement + TheOrg.com + Crunchbase. No Chief Customer/Client/Service Officer exists at Justworks."
Lauren,Yildirim,Justworks,"Vice President, Operations",https://www.linkedin.com/in/lauren-yildirim/,4 (weak fit),"No clean tier match exists at Justworks - Mike Seckler moved COO to CEO in 2022 and the role was never refilled; former SVP Sales & Customer Success Rob Lopez left in 2025. This is the closest verifiable current exec, offered as a fallback only, not a strong title match."
Roger,Nicholson,Insperity,"Senior Vice President, Service Operations",https://www.linkedin.com/in/roger-nicholson-68aab5/,2,"Confirmed via Insperity's official leadership page + individual bio page + TheOrg.com. No CCO/CClO/CSO exists at Insperity."
Steve,Arizpe,Insperity,President & Chief Operating Officer,https://www.linkedin.com/in/steve-arizpe/,3,"Confirmed via Insperity's own leadership bio. Formerly held EVP Client Services before 2019 promotion to President/COO."
Kristen,Appleman,CoAdvantage,Chief Operating Officer,https://www.linkedin.com/in/kristen-appleman/,4,"Confirmed via merger press release + CoAdvantage official leadership page + ZoomInfo/LinkedIn. Re-verified still COO as of this research."
Jim,Neve,CoAdvantage,Chairman & Chief Executive Officer,https://www.linkedin.com/in/jim-neve/,3,"Appointed May 13 2026, replacing former CEO John Cumbee - very recent, real timing signal. Confirmed via GlobeNewswire, PRNewswire, Crunchbase, CoAdvantage's own press release."
Joseph,Lambert,ExtensisHR,"Vice President, Client Success",NOT CONFIRMED - no verifiable LinkedIn URL found,2,"Confirmed via ExtensisHR official leadership page + ZoomInfo. LinkedIn profile could not be verified - manual search recommended."
Jen,Morrow,ExtensisHR,President & Chief Operating Officer,https://www.linkedin.com/in/jenmorr/,3,"Appointed effective Jan 5 2026 - real timing signal. Confirmed via ExtensisHR's own press release + Business Wire/Morningstar syndication + her own LinkedIn post."
Heather,Keefer Saulsbury,PrestigePEO,"Executive Vice President (dual role overseeing StaffLink Outsourcing)",https://www.linkedin.com/in/heather-keefer-saulsbury-056741bb,2,"Confirmed via team bio page + ZoomInfo/Equilar/RocketReach. No Chief Client/Customer/Service Officer exists at PrestigePEO."
Robyn,Rusignuolo,PrestigePEO,Chief Operating Officer,https://www.linkedin.com/in/robynrusignuolo/,4,"In role since March 2023. Title/tenure confirmed via press release + PRWeb + ZoomInfo + Datanyze. LinkedIn URL inferred from her own post slugs rather than a direct profile hit - moderate confidence, verify before use."
Brian,Dames,Safeguard Global,Chief Customer Officer,https://www.linkedin.com/in/briandames/,1,"Confirmed via Safeguard Global's own newsroom press release + dedicated bio page + PRWeb wire release. Newly created role, appointed Dec 3 2024."
Wanda,Prewitt,Safeguard Global,"Chief Operating Officer, Global Employment Outsourcing",https://www.linkedin.com/in/wandaprewitt/,4,"Confirmed via Safeguard Global's own site + LinkedIn + The Org + ZoomInfo. 25+ years payroll/HR ops background (ex-ADP, Alight, NGA HR)."
Christina,Dias Sullivan,Sequoia One,"Chief Client Officer, Sequoia (oversees Sequoia One PEO practice)",https://www.linkedin.com/in/christina-dias-sullivan-735ab71,1,"Confirmed via Sequoia's official leadership page, directly ties her role to the Sequoia One PEO practice."
Kathy,Ross,Sequoia One,CEO Sequoia One,https://www.linkedin.com/in/kathyrossga/,3,"Confirmed via Sequoia's own leadership page + The Org + her active LinkedIn posts tagged #sequoiaone. Based in Phoenix, AZ; prior career at Abbott and ADP."
Olivier,Kohler,Questco,Chief Executive Officer,https://www.linkedin.com/in/olivierkohler,3,"Confirmed via official PR Newswire release (Feb 3 2026 CEO transition) + Questco's own blog + LinkedIn headline. Ex-TriNet COO."
Jason,Randall,Questco,Chief Growth Officer,https://www.linkedin.com/in/jason-randall-b907652/,3,"Newly created role, announced Feb 3 2026, after 8 years as Questco's CEO. Confirmed via PRNewswire/SHRM vendor directory release + his own LinkedIn post."
Brian,Fayak,Nextep,"Founder, President & CEO",https://www.linkedin.com/in/brian-fayak-7b07883,1,"Confirmed via Nextep's official 'Our Team' page + matching LinkedIn title. Founded the company in 1997."
Melissa,Grimes,Nextep,Chief Operating Officer,https://www.linkedin.com/in/melissa-grimes-3a17893,4,"Per Nextep's own team page: 20 years at company, 5 as COO. Some third-party aggregators lag and still show an older 'VP/Dir. of Operations' title - company's own site is authoritative."
Kate,Walsh,Multiplier,Chief Customer Officer,https://www.linkedin.com/in/katefarren/,1,"Confirmed via official PR Newswire release (Jan 20-21 2026) + citybiz.co coverage + career-history match on LinkedIn."
Amanda,Twohig,Multiplier,"Senior Director, Customer Success (North America)",https://www.linkedin.com/in/amandahansensmith/,2,"Most senior CS leader under Kate Walsh - confirmed via The Org's Multiplier CS team chart (33-person team, top-listed NA lead) + RocketReach. LinkedIn handle reflects a prior name; multiple sources confirm it's her current profile."
